,Up,Down,Name,Number,CooccurrenceProbability
353,iDiOP,mHiDP,w-1-OH,0,0
354,iDiOP,mCiNP,w-COOH,0,0
355,iDiOP,mCPP,w-ab,0,0
356,iDiOP,miOP,mono,0,0
357,iDiOP,mHiOP,w-1-OH,0,0
358,iDiOP,71CMP,w-COOH,0,0
359,BMOP,mMOP,mono,0,0
360,BMOP,mHMOP,w-1-OH,0,0
361,BMOP,mOMOP,w-1-oxo,0,0
362,BMOP,81CMP,w-COOH,0,0
363,BMOP,mCPP,w-ab,0,0
364,B4MOP,m4MOP,mono,0,0
365,B4MOP,mH4MOP,w-1-OH,0,0
366,B4MOP,mO4MOP,w-1-oxo,0,0
367,B4MOP,mCMEHP,w-COOH,0,0
368,B4MOP,mCPP,w-ab,0,0
369,DiNP,miNP,mono,265,0.245683925
370,DiNP,mHiNP,mOH,55,0.059100185
371,DPrHP,mPrHP,mono,39,0.42273856
372,DiNP,mCiOP,w-COOH,52,0.056434703
373,DiNP,mCPP,w-ab,148,0.141730127
374,DPrHP,mPOHP,w-1-oxo,7,0.154956133
375,DPrHP,mPCHP,w-COOH,3,0.12148333
376,DPrHP,mCPP,w-ab,22,0.280479146
377,iDOP,miDP,mono,0,0
378,iDOP,mHiDP,w-1-OH,0,0
379,iDOP,mCiNP,w-COOH,0,0
380,iDOP,mCPP,w-ab,0,0
381,iDOP,mOP,mono,0,0
382,iDOP,mHOP,w-1-OH,0,0
383,iDOP,mOOP,w-1-oxo,0,0
384,iDOP,mCHpP,w-COOH,0,0
385,DeiOP,mDP,mono,0,0
386,DeiOP,m9PHHP,w-1-OH,0,0
387,DeiOP,m9POHP,w-1-oxo,0,0
388,DeiOP,mPHHP,mOH,0,0
389,DeiOP,m1POHP,moxo,0,0
390,DeiOP,mCNP,w-COOH,0,0
391,DeiOP,mCPP,w-ab,0,0
392,DeiOP,miOP,mono,0,0
393,DeiOP,mHiOP,w-1-OH,0,0
394,DeiOP,71CMP,w-COOH,0,0
395,iNNP,miNP,mono,0,0
396,iNNP,mHiNP,w-1-OH,0,0
397,iNNP,mCiOP,w-COOH,0,0
398,iNNP,mCPP,w-ab,0,0
399,iNNP,mNP,mono,0,0
400,iNNP,mHNP,w-1-OH,0,0
401,iNNP,mONP,w-1-oxo,0,0
402,iNNP,m8COP,w-COOH,0,0
403,ODP,mOP,mono,0,0
404,ODP,mHOP,w-1-OH,0,0
405,ODP,mOOP,w-1-oxo,0,0
406,ODP,mCHpP,w-COOH,0,0
407,ODP,mCPP,w-ab,0,0
408,ODP,mDP,mono,0,0
409,ODP,m9PHHP,w-1-OH,0,0
410,ODP,m9POHP,w-1-oxo,0,0
411,ODP,mPHHP,mOH,0,0
412,ODP,m1POHP,moxo,0,0
413,ODP,mCNP,w-COOH,0,0
414,HUP,mHpP,mono,0,0
415,HUP,mHHpP,w-1-OH,0,0
416,HUP,mOHpP,w-1-oxo,0,0
417,HUP,mCHxP,w-COOH,0,0
418,HUP,mCPP,w-ab,0,0
419,HUP,mUP,mono,0,0
420,HUP,mHUP,w-1-OH,0,0
421,HUP,mOUP,w-1-oxo,0,0
422,HUP,mCDP,w-COOH,0,0
423,DNP,mNP,mono,3,0.072405276
424,DNP,mHNP,w-1-OH,0,0
425,DNP,mONP,w-1-oxo,0,0
426,DNP,m8COP,w-COOH,0,0
427,DNP,mCPP,w-ab,13,0.122280588
428,iDiNP,miDP,mono,0,0
429,iDiNP,mHiDP,w-1-OH,0,0
430,iDiNP,mCiNP,w-COOH,0,0
431,iDiNP,mCPP,w-ab,0,0
432,iDiNP,miNP,mono,0,0
433,iDiNP,mHiNP,w-1-OH,0,0
434,iDiNP,mCiOP,w-COOH,0,0
435,iOiUP,miOP,mono,0,0
436,iOiUP,mHiOP,w-1-OH,0,0
437,iOiUP,71CMP,w-COOH,0,0
438,iOiUP,mCPP,w-ab,0,0
439,iOiUP,miUP,mono,0,0
440,iOiUP,mHiUP,w-1-OH,0,0
441,iOiUP,109CMP,w-COOH,0,0
442,DDcP,mDcP,mono,0,0
443,iOUP,miOP,mono,0,0
444,iOUP,mHiOP,w-1-OH,0,0
445,iOUP,71CMP,w-COOH,0,0
446,iOUP,mUP,mono,0,0
447,iOUP,mHUP,w-1-OH,0,0
448,iOUP,mOUP,w-1-oxo,0,0
449,iOUP,mCDP,w-COOH,0,0
450,iOUP,mCPP,w-ab,0,0
451,DeiNP,mDP,mono,0,0
452,DeiNP,m9PHHP,w-1-OH,0,0
453,DeiNP,m9POHP,w-1-oxo,0,0
454,DeiNP,mPHHP,mOH,0,0
455,DeiNP,m1POHP,moxo,0,0
456,DeiNP,mCNP,w-COOH,0,0
457,DeiNP,mCPP,w-ab,0,0
458,DeiNP,miUP,mono,0,0
459,DeiNP,mHiUP,w-1-OH,0,0
460,DeiNP,109CMP,w-COOH,0,0
461,HiTP,mHP,mono,0,0
462,HiTP,mHHP,w-1-OH,0,0
463,HiTP,mOHP,w-1-oxo,0,0
464,HiTP,m5CPP,w-COOH,0,0
465,HiTP,mCPP,w-ab,0,0
466,HiTP,miTP,mono,0,0
467,HiTP,mHiTP,w-1-OH,0,0
468,HiTP,121CMP,w-COOH,0,0
469,iDNP,miDP,mono,0,0
470,iDNP,mHiDP,w-1-OH,0,0
471,iDNP,mCiNP,w-COOH,0,0
472,iDNP,mCPP,w-ab,0,0
473,iDNP,mNP,mono,0,0
474,iDNP,mHNP,w-1-OH,0,0
475,iDNP,mONP,w-1-oxo,0,0
476,iDNP,m8COP,w-COOH,0,0
477,iNiUP,miNP,mono,0,0
478,iNiUP,mHiNP,w-1-OH,0,0
479,iNiUP,mCiOP,w-COOH,0,0
480,iNiUP,mCPP,w-ab,0,0
481,iNiUP,miUP,mono,0,0
482,iNiUP,mHiUP,w-1-OH,0,0
483,iNiUP,109CMP,w-COOH,0,0
484,DiDP,miDP,mono,59,0.126036207
485,DiDP,mHiDP,w-1-OH,0,0
486,DiDP,mCiNP,w-COOH,0,0
487,DiDP,mCPP,w-ab,86,0.17429358
488,DeNP,mDP,mono,0,0
489,DeNP,m9PHHP,w-1-OH,0,0
490,DeNP,m9POHP,w-1-oxo,0,0
491,DeNP,mPHHP,mOH,0,0
492,DeNP,m1POHP,moxo,0,0
493,DeNP,mCNP,w-COOH,0,0
494,DeNP,mCPP,w-ab,0,0
495,DeNP,mNP,mono,0,0
496,DeNP,mHNP,w-1-OH,0,0
497,DeNP,mONP,w-1-oxo,0,0
498,DeNP,m8COP,w-COOH,0,0
499,iNUP,miNP,mono,0,0
500,iNUP,mHiNP,w-1-OH,0,0
501,iNUP,mCiOP,w-COOH,0,0
502,iNUP,mCPP,w-ab,0,0
503,iNUP,mUP,mono,0,0
504,iNUP,mHUP,w-1-OH,0,0
505,iNUP,mOUP,w-1-oxo,0,0
506,iNUP,mCDP,w-COOH,0,0
507,iUNP,miUP,mono,0,0
508,iUNP,mHiUP,w-1-OH,0,0
509,iUNP,109CMP,w-COOH,0,0
510,iUNP,mCPP,w-ab,0,0
511,iUNP,mNP,mono,0,0
512,iUNP,mHNP,w-1-OH,0,0
513,iUNP,mONP,w-1-oxo,0,0
514,iUNP,m8COP,w-COOH,0,0
515,NUP,mNP,mono,0,0
516,NUP,mHNP,w-1-OH,0,0
517,NUP,mONP,w-1-oxo,0,0
518,NUP,m8COP,w-COOH,0,0
519,NUP,mCPP,w-ab,0,0
520,NUP,mUP,mono,0,0
521,NUP,mHUP,w-1-OH,0,0
522,NUP,mOUP,w-1-oxo,0,0
523,NUP,mCDP,w-COOH,0,0
524,DDP,mDP,mono,0,0
525,DDP,m9PHHP,w-1-OH,0,0
526,DDP,m9POHP,w-1-oxo,0,0
527,DDP,mPHHP,mOH,0,0
528,DDP,m1POHP,moxo,0,0
529,DDP,mCNP,w-COOH,0,0
530,DDP,mCPP,w-ab,4,0.154400576
531,DeiUP,mDP,mono,0,0
532,DeiUP,m9PHHP,w-1-OH,0,0
